"l_z","l_x","rho","gwr_std","gwr_bias","lgwr_std","lgwr_bias","moran_X","moran_Z","bw_mean","bw_sd","n_ok"
0.05,0.05,0,0.186797921321758,-0.00421653526603332,0.0112671537251691,0.00331564657067255,0.28806504985396,0.285450845180715,90.4333333333333,76.676068888734,30
0.2,0.05,0,0.245501367636776,-0.0189571321777486,0.0123094052965024,0.00278502436863618,0.28806504985396,0.840615656955038,21.8666666666667,1.13664155431187,30
0.5,0.05,0,0.178106975989594,-0.00941507830075241,0.0127823543321152,0.00294426471666412,0.28806504985396,0.934876579043424,23.2,2.52436403735742,30
0.05,0.2,0,0.354516517648815,-0.00093485300856559,0.0120101561297758,0.00966349403080581,0.844891585485706,0.285450845180715,74.1333333333333,66.5347891025405,30
0.2,0.2,0,0.584899668443847,-0.0332115653531367,0.0132058497208958,0.00993077935974366,0.844891585485706,0.840615656955038,19,1.78112711312344,30
0.5,0.2,0,0.423010783631006,-0.0210628074436548,0.0156100693369884,0.0109278361577891,0.844891585485706,0.934876579043424,20.8333333333333,2.18274318601432,30
0.05,0.5,0,0.755117178647213,-0.0108874556997631,0.0129388785919327,0.00770640036423393,0.946862527455968,0.285450845180715,52.2666666666667,51.2034032633294,30
0.2,0.5,0,1.21204328680149,-0.0503667445885315,0.013166709827892,0.00687402472686524,0.946862527455968,0.840615656955038,18.4333333333333,1.568731825466,30
0.5,0.5,0,0.85409701146264,-0.0381122887466233,0.0168783299085681,0.00697376034911379,0.946862527455968,0.934876579043424,20.2,2.78419182850806,30
0.05,0.05,0.4,0.152500328630377,0.396355543614524,0.0122269990817273,0.00348969771893012,0.280538076085156,0.285450845180715,100.666666666667,79.8301357553189,30
0.2,0.05,0.4,0.234480791742575,0.131159641823497,0.0109396975869757,0.0066583904214555,0.280538076085156,0.840615656955038,21.6333333333333,1.09806517403876,30
0.5,0.05,0.4,0.175690407515164,0.0426102446915591,0.0117521994835636,0.00663214589676238,0.280538076085156,0.934876579043424,22.6333333333333,1.80961671181446,30
0.05,0.2,0.4,0.348772168149174,0.308395775853761,0.0129638891951021,0.00784525796476701,0.843282630810569,0.285450845180715,77.5,70.2256216137279,30
0.2,0.2,0.4,0.563870389526751,0.373290749804807,0.0143270800674141,0.0100232181522661,0.843282630810569,0.840615656955038,18.9666666666667,1.7515182248421,30
0.5,0.2,0.4,0.407200013660953,0.210435555017287,0.0146408553860293,0.0102119303603646,0.843282630810569,0.934876579043424,21.7,2.29166405433498,30
0.05,0.5,0.4,0.723606763228294,0.2399544682786,0.0135740455686122,0.00578164537255613,0.944446029740377,0.285450845180715,51.4666666666667,54.0349397394286,30
0.2,0.5,0.4,1.09004584952466,0.492103217786795,0.0137719212565329,0.00662932284022286,0.944446029740377,0.840615656955038,18.5666666666667,1.61209508860757,30
0.5,0.5,0.4,0.76032793733264,0.395309204512262,0.0182826592701976,0.00816690697434804,0.944446029740377,0.934876579043424,21.2,2.70886157536386,30
0.05,0.05,0.8,0.0983313386396091,0.801298427151529,0.0185088110252662,0.00530761297874456,0.276397620517914,0.285450845180715,114.6,78.6483224276885,30
0.2,0.05,0.8,0.202102129906856,0.287193029156065,0.0106569664629025,0.0110804164944044,0.276397620517914,0.840615656955038,21.7,0.915385729888094,30
0.5,0.05,0.8,0.172375120677226,0.0968989432490012,0.0113436472492949,0.00935015404844376,0.276397620517914,0.934876579043424,22.5333333333333,2.11290506556541,30
0.05,0.2,0.8,0.396486998572661,0.70260624409764,0.0145295471859598,0.00351008007033584,0.840138912902101,0.285450845180715,52.3333333333333,57.1581793907431,30
0.2,0.2,0.8,0.353307899627131,0.795053535813746,0.0214868177993279,0.0151434700752226,0.840138912902101,0.840615656955038,21.8,2.12375724309211,30
0.5,0.2,0.8,0.327938722555905,0.43762070787561,0.0170266974014663,0.00889922324243586,0.840138912902101,0.934876579043424,22.5666666666667,2.82456384589555,30
0.05,0.5,0.8,0.766303884530498,0.499755288931519,0.0147271950604391,0.00368715325607865,0.940167211657377,0.285450845180715,38.4,34.56388388138,30
0.2,0.5,0.8,0.862995615265842,0.988739766759554,0.0173428373330893,0.00734584934548734,0.940167211657377,0.840615656955038,18.5333333333333,1.50248835748162,30
0.5,0.5,0.8,0.477858567393158,0.79193951445964,0.0282031005170832,0.0136873451768389,0.940167211657377,0.934876579043424,25.4666666666667,5.0359626229977,30
